SAMPLE,YEAR,RW,LW,BI,EW,RWLOG,LWLOG,BILOG,EWLOG
G511,1906,0.30,0.09,58.85,0.21,-0.52,-1.04,1.77,-0.68
G114,1907,1.36,0.38,101.94,0.99,0.13,-0.42,2.01,-0.01
G127,1907,1.07,0.26,95.76,0.81,0.03,-0.58,1.98,-0.09
G130,1907,0.67,0.18,80.91,0.49,-0.17,-0.74,1.91,-0.31
G208,1907,2.04,0.64,80.06,1.40,0.31,-0.19,1.90,0.15
G212,1907,0.74,0.20,69.26,0.54,-0.13,-0.71,1.84,-0.27
G301,1907,2.59,0.69,88.55,1.90,0.41,-0.16,1.95,0.28
G302,1907,1.99,0.64,113.29,1.36,0.30,-0.20,2.05,0.13
G306,1907,1.01,0.32,76.24,0.68,0.00,-0.49,1.88,-0.17
G319,1907,0.89,0.28,71.92,0.61,-0.05,-0.55,1.86,-0.21
G321,1907,1.14,0.33,99.61,0.81,0.06,-0.48,2.00,-0.09
G431,1907,1.25,0.42,81.25,0.83,0.10,-0.38,1.91,-0.08
G433,1907,1.13,0.37,72.62,0.75,0.05,-0.43,1.86,-0.12
G434,1907,1.09,0.28,81.81,0.80,0.04,-0.55,1.91,-0.09
G436,1907,0.73,0.21,74.06,0.52,-0.14,-0.68,1.87,-0.28
G437,1907,0.78,0.27,74.41,0.51,-0.11,-0.56,1.87,-0.29
G438,1907,0.74,0.19,107.97,0.54,-0.13,-0.71,2.03,-0.27
G439,1907,1.07,0.22,77.35,0.85,0.03,-0.66,1.89,-0.07
G440,1907,1.27,0.36,90.91,0.91,0.10,-0.44,1.96,-0.04
G501,1907,1.36,0.46,75.55,0.91,0.13,-0.34,1.88,-0.04
G511,1907,0.34,0.10,63.07,0.24,-0.47,-0.99,1.80,-0.62
G114,1908,0.65,0.08,64.07,0.56,-0.19,-1.09,1.81,-0.25
G127,1908,0.37,0.06,38.87,0.31,-0.43,-1.21,1.59,-0.51
G130,1908,0.25,0.06,47.43,0.19,-0.60,-1.21,1.68,-0.72
G208,1908,1.53,0.28,71.92,1.25,0.19,-0.55,1.86,0.10
G212,1908,0.52,0.16,65.07,0.36,-0.28,-0.79,1.81,-0.45
G301,1908,1.98,0.44,94.22,1.53,0.30,-0.36,1.97,0.19
G302,1908,1.10,0.18,93.46,0.93,0.04,-0.76,1.97,-0.03
G306,1908,0.42,0.10,65.47,0.32,-0.38,-1.00,1.82,-0.50
G319,1908,0.50,0.08,36.18,0.42,-0.30,-1.10,1.56,-0.38
G321,1908,0.68,0.11,69.99,0.57,-0.16,-0.94,1.85,-0.24
G431,1908,0.76,0.18,72.76,0.58,-0.12,-0.75,1.86,-0.24
G433,1908,0.45,0.07,10.00,0.38,-0.35,-1.15,1.00,-0.42
G434,1908,0.31,0.05,10.00,0.26,-0.50,-1.29,1.00,-0.58
G436,1908,0.38,0.07,42.49,0.31,-0.42,-1.15,1.63,-0.51
G437,1908,0.31,0.05,29.02,0.26,-0.52,-1.35,1.46,-0.59
G438,1908,0.32,0.10,74.72,0.22,-0.49,-0.98,1.87,-0.66
G439,1908,0.52,0.08,24.09,0.44,-0.28,-1.10,1.38,-0.36
G440,1908,0.84,0.15,72.93,0.68,-0.08,-0.82,1.86,-0.16
G501,1908,0.89,0.18,61.31,0.70,-0.05,-0.74,1.79,-0.15
G511,1908,0.43,0.12,59.37,0.31,-0.37,-0.92,1.77,-0.51
G114,1909,0.55,0.13,82.44,0.42,-0.26,-0.88,1.92,-0.38
G127,1909,0.20,0.06,55.25,0.14,-0.71,-1.21,1.74,-0.87
G130,1909,0.20,0.07,65.09,0.13,-0.69,-1.15,1.81,-0.88
G208,1909,0.86,0.22,56.58,0.64,-0.06,-0.66,1.75,-0.19
G212,1909,0.31,0.10,57.50,0.22,-0.50,-1.01,1.76,-0.67
G301,1909,2.72,0.63,87.93,2.09,0.43,-0.20,1.94,0.32
G302,1909,0.71,0.22,93.63,0.49,-0.15,-0.66,1.97,-0.31
G306,1909,0.29,0.10,69.50,0.19,-0.53,-1.00,1.84,-0.72
G319,1909,0.23,0.09,49.48,0.14,-0.64,-1.05,1.69,-0.85
G321,1909,0.34,0.11,79.51,0.23,-0.47,-0.95,1.90,-0.64
G431,1909,0.44,0.16,71.60,0.28,-0.36,-0.80,1.85,-0.55
G433,1909,0.20,0.06,43.80,0.14,-0.70,-1.22,1.64,-0.85
G434,1909,0.22,0.06,42.53,0.16,-0.66,-1.22,1.63,-0.80
G436,1909,0.26,0.09,59.68,0.17,-0.59,-1.05,1.78,-0.77
G437,1909,0.34,0.09,53.95,0.25,-0.47,-1.05,1.73,-0.61
G438,1909,0.25,0.07,80.33,0.18,-0.60,-1.14,1.90,-0.74
G439,1909,0.31,0.10,50.08,0.21,-0.51,-1.00,1.70,-0.68
G440,1909,0.60,0.21,75.09,0.39,-0.22,-0.68,1.88,-0.41
